0_1	+ 1
9_17|12n_442m	+ A^(-12) - 2*A^(-8) + 4*A^(-4) - 5 + 6*A^(4) - 7*A^(8) + 6*A^(12) - 4*A^(16) + 3*A^(20) - A^(24)
9_17m|12n_442	- A^(-24) + 3*A^(-20) - 4*A^(-16) + 6*A^(-12) - 7*A^(-8) + 6*A^(-4) - 5 + 4*A^(4) - 2*A^(8) + A^(12)
9_18	+ A^(8) - 2*A^(12) + 5*A^(16) - 6*A^(20) + 7*A^(24) - 7*A^(28) + 6*A^(32) - 4*A^(36) + 2*A^(40) - A^(44)
9_18m	- A^(-44) + 2*A^(-40) - 4*A^(-36) + 6*A^(-32) - 7*A^(-28) + 7*A^(-24) - 6*A^(-20) + 5*A^(-16) - 2*A^(-12) + A^(-8)
9_19	+ A^(-16) - 2*A^(-12) + 4*A^(-8) - 6*A^(-4) + 7 - 7*A^(4) + 6*A^(8) - 4*A^(12) + 3*A^(16) - A^(20)
9_19m	- A^(-20) + 3*A^(-16) - 4*A^(-12) + 6*A^(-8) - 7*A^(-4) + 7 - 6*A^(4) + 4*A^(8) - 2*A^(12) + A^(16)
9_20|11n_90m	+ 1 - 2*A^(4) + 4*A^(8) - 5*A^(12) + 7*A^(16) - 7*A^(20) + 6*A^(24) - 5*A^(28) + 3*A^(32) - A^(36)
9_20m|11n_90	- A^(-36) + 3*A^(-32) - 5*A^(-28) + 6*A^(-24) - 7*A^(-20) + 7*A^(-16) - 5*A^(-12) + 4*A^(-8) - 2*A^(-4) + 1
9_21|11n_129m	- A^(-32) + 2*A^(-28) - 4*A^(-24) + 6*A^(-20) - 7*A^(-16) + 8*A^(-12) - 6*A^(-8) + 5*A^(-4) - 3 + A^(4)
9_21m|11n_129	+ A^(-4) - 3 + 5*A^(4) - 6*A^(8) + 8*A^(12) - 7*A^(16) + 6*A^(20) - 4*A^(24) + 2*A^(28) - A^(32)
9_22|11n_3m	- A^(-24) + 3*A^(-20) - 5*A^(-16) + 7*A^(-12) - 7*A^(-8) + 7*A^(-4) - 6 + 4*A^(4) - 2*A^(8) + A^(12)
9_22m|11n_3	+ A^(-12) - 2*A^(-8) + 4*A^(-4) - 6 + 7*A^(4) - 7*A^(8) + 7*A^(12) - 5*A^(16) + 3*A^(20) - A^(24)
9_23	+ A^(8) - 2*A^(12) + 5*A^(16) - 6*A^(20) + 8*A^(24) - 8*A^(28) + 6*A^(32) - 5*A^(36) + 3*A^(40) - A^(44)
9_23m	- A^(-44) + 3*A^(-40) - 5*A^(-36) + 6*A^(-32) - 8*A^(-28) + 8*A^(-24) - 6*A^(-20) + 5*A^(-16) - 2*A^(-12) + A^(-8)
9_24	+ A^(-16) - 3*A^(-12) + 5*A^(-8) - 7*A^(-4) + 8 - 7*A^(4) + 7*A^(8) - 4*A^(12) + 2*A^(16) - A^(20)
9_24m	- A^(-20) + 2*A^(-16) - 4*A^(-12) + 7*A^(-8) - 7*A^(-4) + 8 - 7*A^(4) + 5*A^(8) - 3*A^(12) + A^(16)
9_25|11n_25m	+ A^(-4) - 2 + 5*A^(4) - 7*A^(8) + 8*A^(12) - 8*A^(16) + 7*A^(20) - 5*A^(24) + 3*A^(28) - A^(32)
9_25m|11n_25	- A^(-32) + 3*A^(-28) - 5*A^(-24) + 7*A^(-20) - 8*A^(-16) + 8*A^(-12) - 7*A^(-8) + 5*A^(-4) - 2 + A^(4)
9_26	+ A^(-28) - 3*A^(-24) + 5*A^(-20) - 7*A^(-16) + 8*A^(-12) - 8*A^(-8) + 7*A^(-4) - 4 + 3*A^(4) - A^(8)
9_26m	- A^(-8) + 3*A^(-4) - 4 + 7*A^(4) - 8*A^(8) + 8*A^(12) - 7*A^(16) + 5*A^(20) - 3*A^(24) + A^(28)
9_27|11n_83	+ A^(-16) - 3*A^(-12) + 5*A^(-8) - 7*A^(-4) + 9 - 8*A^(4) + 7*A^(8) - 5*A^(12) + 3*A^(16) - A^(20)
9_27m|11n_83m	- A^(-20) + 3*A^(-16) - 5*A^(-12) + 7*A^(-8) - 8*A^(-4) + 9 - 7*A^(4) + 5*A^(8) - 3*A^(12) + A^(16)
9_28	- A^(-8) + 3*A^(-4) - 5 + 8*A^(4) - 8*A^(8) + 9*A^(12) - 8*A^(16) + 5*A^(20) - 3*A^(24) + A^(28)
9_28m	+ A^(-28) - 3*A^(-24) + 5*A^(-20) - 8*A^(-16) + 9*A^(-12) - 8*A^(-8) + 8*A^(-4) - 5 + 3*A^(4) - A^(8)
9_29|12n_311	+ A^(-12) - 3*A^(-8) + 5*A^(-4) - 7 + 9*A^(4) - 8*A^(8) + 8*A^(12) - 6*A^(16) + 3*A^(20) - A^(24)
9_29m|12n_311m	- A^(-24) + 3*A^(-20) - 6*A^(-16) + 8*A^(-12) - 8*A^(-8) + 9*A^(-4) - 7 + 5*A^(4) - 3*A^(8) + A^(12)
9_30|11n_114m	+ A^(-16) - 3*A^(-12) + 6*A^(-8) - 8*A^(-4) + 9 - 9*A^(4) + 8*A^(8) - 5*A^(12) + 3*A^(16) - A^(20)
9_30m|11n_114	- A^(-20) + 3*A^(-16) - 5*A^(-12) + 8*A^(-8) - 9*A^(-4) + 9 - 8*A^(4) + 6*A^(8) - 3*A^(12) + A^(16)
9_31	- A^(-8) + 3*A^(-4) - 5 + 8*A^(4) - 9*A^(8) + 10*A^(12) - 8*A^(16) + 6*A^(20) - 4*A^(24) + A^(28)
9_31m	+ A^(-28) - 4*A^(-24) + 6*A^(-20) - 8*A^(-16) + 10*A^(-12) - 9*A^(-8) + 8*A^(-4) - 5 + 3*A^(4) - A^(8)
9_32	+ A^(-28) - 3*A^(-24) + 6*A^(-20) - 9*A^(-16) + 10*A^(-12) - 10*A^(-8) + 9*A^(-4) - 6 + 4*A^(4) - A^(8)
9_32m	- A^(-8) + 4*A^(-4) - 6 + 9*A^(4) - 10*A^(8) + 10*A^(12) - 9*A^(16) + 6*A^(20) - 3*A^(24) + A^(28)
9_33	+ A^(-16) - 4*A^(-12) + 7*A^(-8) - 9*A^(-4) + 11 - 10*A^(4) + 9*A^(8) - 6*A^(12) + 3*A^(16) - A^(20)
9_33m	- A^(-20) + 3*A^(-16) - 6*A^(-12) + 9*A^(-8) - 10*A^(-4) + 11 - 9*A^(4) + 7*A^(8) - 4*A^(12) + A^(16)
9_34	+ A^(-16) - 4*A^(-12) + 8*A^(-8) - 10*A^(-4) + 12 - 12*A^(4) + 10*A^(8) - 7*A^(12) + 4*A^(16) - A^(20)
9_34m	- A^(-20) + 4*A^(-16) - 7*A^(-12) + 10*A^(-8) - 12*A^(-4) + 12 - 10*A^(4) + 8*A^(8) - 4*A^(12) + A^(16)
9_35|12n_387m	+ A^(4) - 2*A^(8) + 3*A^(12) - 4*A^(16) + 5*A^(20) - 3*A^(24) + 4*A^(28) - 3*A^(32) + A^(36) - A^(40)
9_35m|12n_387	- A^(-40) + A^(-36) - 3*A^(-32) + 4*A^(-28) - 3*A^(-24) + 5*A^(-20) - 4*A^(-16) + 3*A^(-12) - 2*A^(-8) + A^(-4)
9_36|11n_16	- A^(-36) + 2*A^(-32) - 4*A^(-28) + 6*A^(-24) - 6*A^(-20) + 6*A^(-16) - 5*A^(-12) + 4*A^(-8) - 2*A^(-4) + 1
9_36m|11n_16m	+ 1 - 2*A^(4) + 4*A^(8) - 5*A^(12) + 6*A^(16) - 6*A^(20) + 6*A^(24) - 4*A^(28) + 2*A^(32) - A^(36)
9_37	+ A^(-16) - 2*A^(-12) + 5*A^(-8) - 7*A^(-4) + 7 - 8*A^(4) + 7*A^(8) - 4*A^(12) + 3*A^(16) - A^(20)
