k0.1	1
k4.67m	+ A^(4) + 2*A^(6) + A^(6)*v + A^(8)*v + A^(8)*v^(2) + A^(10)*v
k4.68	+ A^(-10)*v + A^(-8)*v + A^(-8)*v^(2) + A^(-6) + A^(-6)*v - A^(-4)*v - A^(-2) - A^(-2)*v - 1
k4.68m	- 1 - A^(2) - A^(2)*v - A^(4)*v + A^(6) + A^(6)*v + A^(8)*v + A^(8)*v^(2) + A^(10)*v
k4.69	+ A^(-14) + 2*A^(-12)*v - A^(-10) + A^(-10)*v + A^(-10)*v^(2) - A^(-8) + A^(-8)*v^(2)
k4.69m	- A^(8) + A^(8)*v^(2) - A^(10) + A^(10)*v + A^(10)*v^(2) + 2*A^(12)*v + A^(14)
k4.70	+ A^(-14) + A^(-14)*v + A^(-12)*v + A^(-12)*v^(2) - A^(-10) + A^(-10)*v - A^(-8) - A^(-8)*v - A^(-6)*v
k4.70m	- A^(6)*v - A^(8) - A^(8)*v - A^(10) + A^(10)*v + A^(12)*v + A^(12)*v^(2) + A^(14) + A^(14)*v
k4.71	+ A^(-14) - A^(-10) - A^(-10)*v^(2) - A^(-8) + 2*A^(-6)*v^(2) + 2*A^(-4)*v + A^(-4)*v^(2) + A^(-2)*v
k4.71m	+ A^(2)*v + 2*A^(4)*v + A^(4)*v^(2) + 2*A^(6)*v^(2) - A^(8) - A^(10) - A^(10)*v^(2) + A^(14)
k4.72	+ A^(-16) + A^(-14) + A^(-14)*v + A^(-12) + 2*A^(-12)*v - A^(-10) + A^(-10)*v + A^(-10)*v^(2) - A^(-8) + A^(-8)*v^(2)
k4.72m	- A^(8) + A^(8)*v^(2) - A^(10) + A^(10)*v + A^(10)*v^(2) + A^(12) + 2*A^(12)*v + A^(14) + A^(14)*v + A^(16)
k4.73	+ A^(-16) + A^(-14) + A^(-14)*v + A^(-12) + A^(-12)*v - A^(-10) - A^(-8) - A^(-8)*v - A^(-6)*v
k4.73m	- A^(6)*v - A^(8) - A^(8)*v - A^(10) + A^(12) + A^(12)*v + A^(14) + A^(14)*v + A^(16)
k4.74	+ A^(-10) + A^(-8) + A^(-8)*v + A^(-6) - A^(-4) - A^(-2) + 1 + A^2
k4.74m	1 + A^(-2) - A^2 - A^4 + A^6 + A^8*v + A^8 + A^10
k4.75	+ A^(-14) + A^(-12)*v - A^(-10) - A^(-8)*v + A^(-6) + A^(-4) + A^(-4)*v + A^(-2)
k4.75m	+ A^(2) + A^(4) + A^(4)*v + A^(6) - A^(8)*v - A^(10) + A^(12)*v + A^(14)
k4.76	+ A^(-16)*v + 2*A^(-14) + 2*A^(-14)*v + 2*A^(-12) + A^(-12)*v^(2) - 2*A^(-8) + A^(-4)
k4.76m	+ A^(4) - 2*A^(8) + 2*A^(12) + A^(12)*v^(2) + 2*A^(14) + 2*A^(14)*v + A^(16)*v
k4.77	+ A^(-16)*v + 2*A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)
k4.77m	+ A^(4) + A^(6) - A^(8) - A^(10) + A^(12) + 2*A^(14) + A^(16)*v
k4.78	+ A^(-16)*v + 2*A^(-14) + A^(-14)*v + 2*A^(-12) - A^(-10)*v - 2*A^(-8) + A^(-4)
k4.78m	+ A^(4) - 2*A^(8) - A^(10)*v + 2*A^(12) + 2*A^(14) + A^(14)*v + A^(16)*v
k4.79	+ A^(-2) + A^(-2)*v + 1 + v + v^(2) + A^(2) + A^(2)*v
k4.80	+ A^(-2)*v + 1 + v + v^(2) + A^(2)*v + A^(2)*v^(2) + A^(4)*v
k4.80m	+ A^(-4)*v + A^(-2)*v + A^(-2)*v^(2) + 1 + v + v^(2) + A^(2)*v
k4.81	 + A^(-2)*v + A^(-2)*v^(2) + v^(2) + v^(3) - A^(2) + A^(2)*v^(2) - A^(4) - A^(4)*v - A^(6)
k4.81m	- A^(-6) - A^(-4) - A^(-4)*v - A^(-2) + A^(-2)*v^(2) + v^(2) + v^(3) + A^(2)*v + A^(2)*v^(2)
k4.82	+ A^(-2)*v - 1 + 2*v + v^(2) - A^(2) + 2*A^(2)*v^(2) + A^(6) - A^(6)*v^(2)
k4.82m	+ A^(-6) - A^(-6)*v^(2) - A^(-2) + 2*A^(-2)*v^(2) - 1 + 2*v + v^(2) + A^(2)*v
k4.83	+ A^(-2)*v - 1 + v + v^(2) - 2*A^(2) + 2*A^(2)*v^(2) - 2*A^(4)*v + A^(4)*v^(3)
k4.83m	- 2*A^(-4)*v + A^(-4)*v^(3) - 2*A^(-2) + 2*A^(-2)*v^(2) - 1 + v + v^(2) + A^(2)*v
k4.84	+ A^(-20)*v + A^(-18) - A^(-16)*v - A^(-14) + A^(-12)*v + 2*A^(-10) + A^(-8)
k4.84m	+ A^(8) + 2*A^(10) + A^(12)*v - A^(14) - A^(16)*v + A^(18) + A^(20)*v
k4.85	+ A^(-20)*v - 2*A^(-16)*v - 2*A^(-14) + A^(-12)*v + 2*A^(-10) + A^(-8)
k4.85m	+ A^(8) + 2*A^(10) + A^(12)*v - 2*A^(14) - 2*A^(16)*v + A^(20)*v
k4.86	+ A^(-4) + 2*A^(-2) + A^(-2)*v + 2*v - A^(2)*v - 2*A^(4)*v + A^(8)*v
k4.86m	+ A^(-8)*v - 2*A^(-4)*v - A^(-2)*v + 2*v + 2*A^(2) + A^(2)*v + A^(4)
k4.87	+ A^(-4) + A^(-2) + A^(-2)*v + 1 + v - A^(2)*v - A^(4) - A^(4)*v - A^(6)
k4.87m	- A^(-6) - A^(-4) - A^(-4)*v - A^(-2)*v + 1 + v + A^(2) + A^(2)*v + A^(4)
k4.88	+ A^(-4) + A^(-2) + A^(-2)*v + 1 - A^(2) - A^(2)*v - 2*A^(4) + A^(8)
k4.88m	+ A^(-8) - 2*A^(-4) - A^(-2) - A^(-2)*v + 1 + A^(2) + A^(2)*v + A^(4)
k4.89	+ A^(-4) + A^(-2) + A^(-2)*v + 2*v - A^(2) - A^(2)*v + A^(2)*v^(2) - 2*A^(4)*v - A^(6)*v^(2)
k4.89m	- A^(-6)*v^(2) - 2*A^(-4)*v - A^(-2) - A^(-2)*v + A^(-2)*v^(2) + 2*v + A^(2) + A^(2)*v + A^(4)
