k0.1	1
k8.24m	-A^(-36) + 2*A^(-32) + A^(-30) - 2*A^(-28) - 3*A^(-26) + A^(-22) + A^(-20) + A^(-18) + A^(-16)
k8.25	A^4 - A^8 + 2*A^12 - 2*A^16 + 3*A^20 + A^22 - 2*A^24 - 2*A^26 + A^30
k8.25m	A^(-30) - 2*A^(-24) + A^22 + 3*A^(-20) - 2*A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
k8.26	A^4 - A^8 + A^10 + 3*A^12 - A^14 - 4*A^16 - A^18 + 3*A^20 + 2*A^22 - A^24 - A^26
k8.26m	-A^(-26) - A^(-24) + 2*A^(-22) + 3*A^(-20) - A^(-18) - 4*A^(-16) - A^(-14) + 3*A^(-12) + A^(-10) - A^(-8) + A^(-4)
k8.27	-A^(-24) + A^(-22) + 3*A^(-20) - A^(-18) - 5*A^(-16) - 2*A^(-14) + 5*A^(-12) + 3*A^(-10) - 2*A^(-8) - 2*A^(-6) + A^(-4) + A^(-2)
k8.27m	A^2 + A^4 - 2*A^6 - 2*A^8 + 3*A^10 + 5*A^12 - 2*A^14 - 5*A^16 - A^18 + 3*A^20 + A^22 - A^24
k8.28	2 - A^(-12) - A^(-10) + 2*A^(-8) + 2*A^(-6) - 2*A^(-4) - 2*A^(-2) + 3*A^2 - A^4 - 2*A^6 + A^8 + A^10 - A^14
k8.28m	2 - A^(-14) + A^(-10) + A^(-8) - 2*A^(-6) - A^(-4) + 3*A^(-2) - 2*A^2 - 2*A^4 + 2*A^6 + 2*A^8 - A^10 - A^12
k8.29	A^(-22) - 3*A^(-18) - 3*A^(-16) + 2*A^(-14) + 5*A^(-12) + A^(-10) - 2*A^(-8) - A^(-6) + A^(-4)
k8.29m	A^4 - A^6 - 2*A^8 + A^10 + 5*A^12 + 2*A^14 - 3*A^16 - 3*A^18 + A^22
k8.30	1 - A^(-12) - A^(-10) + 2*A^(-8) + 2*A^(-6) - A^(-4) - 3*A^(-2) + 3*A^2 + A^4 - A^6 - A^8
k8.30m	1 - A^(-8) - A^(-6) + 3*A^(-2) - 3*A^2 - A^4 + 2*A^6 + 2*A^8 - A^10 - A^12
k8.31	1 + A^2 - 2*A^6 + 2*A^10 + A^12 - 2*A^14 - 2*A^16 + A^18 + A^20
k8.31m	1 + A^(-20) + A^(-18) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) - 2*A^(-6) + A^(-2)
k8.32	A^2 + A^4 - A^6 - A^8 + 2*A^10 + 2*A^12 - 3*A^14 - 3*A^16 + 2*A^18 + 3*A^20 - A^22 - 2*A^24 + A^28
k8.32m	A^(-28) - 2*A^(-24) - A^(-22) + 3*A^(-20) + 2*A^(-18) - 3*A^(-16) - 3*A^(-14) + 2*A^(-12) + 2*A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)
k8.33	-2 - A^(-26) - A^(-24) + 2*A^(-22) + 3*A^(-20) - 2*A^(-18) - 5*A^(-16) + 2*A^(-14) + 6*A^(-12) - A^(-10) - 5*A^(-8) + 4*A^(-4) + A^4
k8.33m	-2 + A^(-4) + 4*A^4 - 5*A^8 - A^10 + 6*A^12 + 2*A^14 - 5*A^16 - 2*A^18 + 3*A^20 + 2*A^22 - A^24 - A^26
k8.34	-A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) - A^(-16) - 3*A^(-14) + 2*A^(-10) + A^(-8)
k8.34m	A^8 + 2*A^10 - 3*A^14 + A^16 + 2*A^18 + 2*A^20 - A^22 - A^24
k8.35	4 + A^(-10) + A^(-8) - 2*A^(-6) - 2*A^(-4) + 3*A^(-2) - 3*A^2 - 5*A^4 + 4*A^8 + A^10 - A^12
k8.35m	4 - A^(-12) + A^(-10) + 4*A^(-8) - 5*A^(-4) - 3*A^(-2) + 3*A^2 - 2*A^4 - 2*A^6 + A^8 + A^10
k8.36	A^12 + A^14 - A^16 - 2*A^18 + 2*A^20 + 3*A^22 - 2*A^24 - 4*A^26 + 2*A^28 + 5*A^30 - A^32 - 4*A^34 + 2*A^38 - A^42
k8.36m	-A^(-42) + 2*A^(-38) - 4*A^(-34) - A^(-32) + 5*A^(-30) + 2*A^(-28) - 4*A^(-26) - 2*A^(-24) + 3*A^(-22) + 2*A^(-20) - 2*A^(-18) - A^(-16) + A^(-14) + A^(-12)
k8.37	A^12 - A^16 + 3*A^20 + A^22 - 4*A^24 - 2*A^26 + 4*A^28 + 3*A^30 - 3*A^32 - 3*A^34 + 2*A^36 + 2*A^38 - A^40 - A^42
k8.37m	-A^(-42) - A^(-40) + 2*A^(-38) + 2*A^(-36) - 2*A^(-34) - 3*A^(-32) + 3*A^(-30) + 4*A^(-28) - 2*A^(-26) - 4*A^(-24) + A^22 + 3*A^(-20) - A^(-16) + A^(-12)
k8.38	A^12 + A^14 - A^16 - 2*A^18 + 2*A^20 + 4*A^22 - 2*A^24 - 5*A^26 + A^28 + 5*A^30 - 4*A^34 + 2*A^38 - A^42
k8.38m	-A^(-42) + 2*A^(-38) - 4*A^(-34) + 5*A^(-30) + A^(-28) - 5*A^(-26) - 2*A^(-24) + 4*A^(-22) + 2*A^(-20) - 2*A^(-18) - A^(-16) + A^(-14) + A^(-12)
k8.39	- A^(-24)*v - A^(-22) + 2*A^(-20)*v + 2*A^(-18) + A^(-18)*v + A^(-16) - A^(-16)*v - A^(-14) - A^(-14)*v - A^(-12) + A^(-12)*v + A^(-10) - A^(-8)*v - A^(-6) - A^(-6)*v - A^(-4)
k8.39m	-A^4 - A^6*v - A^6 - A^8*v + A^10 + A^12*v - A^12 - A^14*v - A^14 - A^16*v + A^16 + A^18*v + 2*A^18 + 2*A^20*v - A^22 - A^24*v
k8.40	- A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) - 2*A^(-16) - 3*A^(-14) + 2*A^(-12) + 4*A^(-10) + A^(-10)*v + 2*A^(-8) + A^(-8)*v
k8.40m	A^8*v + 2*A^8 + A^10*v + 4*A^10 + 2*A^12 - 3*A^14 - 2*A^16 + 2*A^18 + 2*A^20 - A^22 - A^24
k8.41	+ A^(-22) + A^(-22)*v + 2*A^(-20) - 2*A^(-18) - 2*A^(-18)*v - 6*A^(-16) - A^(-16)*v - 2*A^(-14) + A^(-14)*v + 5*A^(-12) + A^(-12)*v + 3*A^(-10) - A^(-10)*v - 3*A^(-8) - A^(-8)*v - 3*A^(-6) + A^(-4) + A^(-2)
k8.41m	+ A^2 + A^4 - 3*A^6 - A^8*v - 3*A^8 - A^10*v + 3*A^10 + A^12*v + 5*A^12 + A^14*v - 2*A^14 - A^16*v - 6*A^16 - 2*A^18*v - 2*A^18 + 2*A^20 + A^22*v + A^22
k8.42	- A^(-14) - A^(-12) - A^(-12)*v - A^(-10) - A^(-10)*v + A^(-8)*v + 2*A^(-6) + A^(-6)*v + 2*A^(-4)
k8.42m	+ 2*A^4 + A^6*v + 2*A^6 + A^8*v - A^10*v - A^10 - A^12*v - A^12 - A^14
k8.43	 - A^(-20) - A^(-20)*v - 3*A^(-18) - 2*A^(-18)*v - 3*A^(-16) + A^(-14) + 2*A^(-14)*v + 5*A^(-12) + A^(-12)*v + 2*A^(-10) - A^(-8) + A^(-4)
k8.43m	+ A^4 - A^8 + 2*A^10 + A^12*v + 5*A^12 + 2*A^14*v + A^14 - 3*A^16 - 2*A^18 - 3*A^18 - A^20*v - A^20
k9.1	A^16 + A^18 + A^20 + A^22 - 2*A^26 - 2*A^28 + A^32
k9.1m	A^(-32) - 2*A^(-28) - 2*A^(-26) + A^(-22) + A^(-20) + A^(-18) + A^(-16)
k9.2m	A^10 + 3*A^12 + A^14 - 2*A^16 - 3*A^18 - A^20 + A^22 + A^24
k9.2m	A^(-24) + A^(-22) - A^(-20) - 3*A^(-18) - 2*A^(-16) + A^(-14) + 3*A^(-12) + A^(-10)
k9.3	A^(-20) + A^(-18) - A^(-16) - 3*A^(-14) - A^(-12) + A^(-10) + 2*A^(-8) + A^(-6)
k9.3m	A^6 + 2*A^8 + A^10 - A^12 - 3*A^14 - A^16 + A^18 + A^20
k9.4	-A^(-6) + A^(-4) + 2*A^(-2) - 3*A^2 + 4*A^6 - 4*A^10 - A^12 + 3*A^14 + 2*A^16 - A^18 - A^20
k9.4m	-A^(-20) - A^(-18) + 2*A^(-16) + 3*A^(-14) - A^(-12) - 4*A^(-10) + 4*A^(-6) - 3*A^(-2) + 2*A^2 + A^4 - A^6
k9.5	A^12 + A^14 - 2*A^18 + A^20 + 3*A^22 - 4*A^26 - 2*A^28 + 3*A^30 + 2*A^32 - A^34 - A^36
k9.5m	-A^(-36) - A^(-34) + 2*A^(-32) + 3*A^(-30) - 2*A^(-28) - 4*A^(-26) + 3*A^(-22) + A^(-20) - 2*A^(-18) + A^(-14) + A^(-12)
k9.6	A^(-22) + A^(-20) - A^(-18) - 3*A^(-16) - 2*A^(-14) + 2*A^(-12) + 2*A^(-10) + A^(-8)
k9.6m	A^8 + 2*A^10 + 2*A^12 - 2*A^14 - 3*A^16 - A^18 + A^20 + A^22
k9.7	-3 - A^(-18) - A^(-16) + 2*A^(-14) + 3*A^(-12) - 2*A^(-10) - 4*A^(-8) + A^(-6) + 5*A^(-4) + A^(-2) - 2*A^2 + A^4 + A^6
k9.7m	-3 + A^(-6) + A^(-4) - 2*A^(-2) + A^2 + 5*A^4 + A^6 - 4*A^8 - 2*A^10 + 3*A^12 + 2*A^14 - A^16 - A^18
k9.8	-3 - A^(-18) - A^(-16) + 2*A^(-14) + 2*A^(-12) - 2*A^(-10) - 2*A^(-8) + 3*A^(-6) + 3*A^(-4) - 3*A^(-2) + 2*A^2 + 3*A^4 - A^6 - 2*A^8 + A^12
k9.8m	-3 + A^(-12) - 2*A^(-8) - A^(-6) + 3*A^(-4) + 2*A^(-2) - 3*A^2 + 3*A^4 + 3*A^6 - 2*A^8 - 2*A^10 + 2*A^12 + 2*A^14 - A^16 - A^18
k9.9	1 - A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) - A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) - A^(-8) - 2*A^(-6) + A^(-2)
k9.9m	1 + A^2 - 2*A^6 - A^8 + 2*A^10 + A^12 - 2*A^14 - A^16 + 2*A^18 + 2*A^20 - A^22 - A^24
k9.10	2 + A^(-2) - 2*A^4 - 2*A^6 + A^10 + A^12
k9.10m	2 + A^(-12) + A^(-10) - 2*A^(-6) - 2*A^(-4) + A^2
k9.11	3 + A^(-16) - 2*A^(-12) - A^(-10) + 3*A^(-8) + 2*A^(-6) - 3*A^(-4) - 2*A^(-2) + 2*A^2 - 2*A^4 - 2*A^6 + A^8 + A^10
k9.11m	3 + A^(-10) + A^(-8) - 2*A^(-6) - 2*A^(-4) + 2*A^(-2) - 2*A^2 - 3*A^4 + 2*A^6 + 3*A^8 - A^10 - 2*A^12 + A^16
k9.12	- A^(-30)*v - 2*A^(-28) - A^(-28)*v - 2*A^(-26) + A^(-26)*v + A^(-24) + A^(-24)*v + 2*A^(-22) + A^(-20) + A^(-18)*v + 2*A^(-16) + A^(-16)*v + 2*A^(-14) + A^(-12)
k9.12m	A^12 + 2*A^14 +A^16*v + 2*A^16 + A^18*v + A^20 + 2*A^22 + A^24*v + A^24 + A^26*v - 2*A^26 - A^28*v - 2*A^28 - A^30*v
k9.13	- A^(-30) + 2*A^(-26) + A^(-26)*v^(2) + A^(-24) + 2*A^(-24)*v - A^(-22) + A^(-22)*v - A^(-22)*v^(2) - A^(-20) - 2*A^(-20)*v + A^(-18) - A^(-18)*v - A^(-14) - A^(-14)*v^(2) - A^(-12) - 2*A^(-12)*v - A^(-10)*v
k9.13m	- A^10 - 2*A^12*v - A^12 - A^14*v^(2) - A^14 - A^18*v - 2*A^20*v - A^20 - A^22*v^(2) - A^22*v - A^22 + 2*A^24*v + A^24 + A^26*v^(2) + 2*A^26 - A^30
k9.14	- A^(-24) - A^(-24)*v - A^(-22) - A^(-22)*v + 2*A^(-20)*v + 2*A^(-18) + 2*A^(-18)*v + 2*A^(-16) - A^(-16)*v - A^(-14) - A^(-14)*v + A^(-12)*v + A^(-10) + A^(-10)*v + A^(-8) - A^(-8)*v - A^(-6) - A^(-6)*v - A^(-4)
k9.14m	- A^4 - A^6*v - A^6 - A^8*v + A^8 + A^10*v + A^10 + A^12*v - A^14*v - A^14 - A^16*v + 2*A^16 + 2*A^18*v + 2*A^18 + 2*A^20*v - A^22*v - A^22  - A^24*v - A^24
k9.15	+ A^(-22)*v + 2*A^(-20) + A^(-18) - A^(-18)*v - 3*A^(-16) - 2*A^(-14) + A^(-12) + A^(-10) - A^(-10)*v - 2*A^(-8) - A^(-6) + A^(-4) + A^(-2)
k9.15m	A^2 + A^4 - A^6 - 2*A^8 - A^10*v + A^10 + A^12 - 2*A^14 - 3*A^16 - A^18*v + A^18 + 2*A^20 + A^22*v
k9.16	- A^(-24) - A^(-24)*v - A^(-22) - A^(-22)*v + A^(-20) + 2*A^(-20)*v + 3*A^(-18) + 3*A^(-18)*v + 2*A^(-16) - A^(-14) - 2*A^(-14)*v - A^(-12) + A^(-10)*v - A^(-8)*v - 2*A^(-6) - 2*A^(-6)*v - 2*A^(-4) - A^(-4)*v - A^(-2)
k9.16m	- A^2 - A^4*v - 2*A^4 - 2*A^6*v - 2*A^6 - A^8*v + A^10*v - A^12 - 2*A^14*v - A^14 + 2*A^16 + 3*A^18 + 3*A^18 + 2*A^20*v + A^20 - A^22*v - A^22 - A^24*v - A^24
k9.17	+ A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-12)*v + 2*A^(-10) + A^(-10)*v - A^(-8)*v - 2*A^(-6) - 2*A^(-6)*v - 2*A^(-4) - A^(-4)*v - A^(-2)
k9.17m	- A^2 - A^4*v - 2*A^4 - 2*A^6*v - 2*A^6 - A^8*v + A^10*v + 2*A^10 + A^12*v + 2*A^12 - A^14 - 2*A^16 + A^20
k10.1	3 - A^(-14) - A^(-12) + A^(-10) + 3*A^(-8) - 3*A^(-4) - A^(-2) + 2*A^2 - A^4 - A^6
k10.1m	3 - A^(-6) - A^(-4) + 2*A^(-2) - A^2 - 3*A^4 + 3*A^8 + A^10 - A^12 - A^14
k10.2	-3 - A^(-26) - A^(-24) + 2*A^(-22) + 3*A^(-20) - 2*A^(-18) - 5*A^(-16) + 2*A^(-14) + 7*A^(-12) - A^(-10) - 7*A^(-8) - A^(-6) + 6*A^(-4) + 2*A^(-2) - 2*A^2 + A^4 + A^6
k10.2m	-3 + A^(-6) + A^(-4) - 2*A^(-2) + 6*A^4 - A^6 - 7*A^8 - A^10 + 2*A^14 - 5*A^16 - 2*A^18 + 3*A^20 + 2*A^22 - A^24 - A^26
k10.3	-1 + A^(-22) + A^(-20) - 2*A^(-18) - 4*A^(-16) + 4*A^(-12) + A^(-10) - 2*A^(-8) + 3*A^(-4) + A^(-2) - A^2
k10.3m	-1 - A^(-2) + A^2 + 3*A^4 - 2*A^8 + A^10 + 4*A^12 - 4*A^16 - 2*A^18 + A^20 +A^22
k10.4	-A^(-36) + 3*A^(-32) + 2*A^(-30) - 3*A^(-28) - 4*A^(-26) + A^(-24) + 2*A^(-22) - A^(-20) - 2*A^(-18) + A^(-16) + 2*A^(-14) + A^(-12)
k10.4m	A^12 + 2*A^14 + A^16 - 2*A^18 - A^20 + 2*A^22 + A^24 - 4*A^26 - 3*A^28 + 2*A^30 + 3*A^32 - A^36
k10.5	- A^(-30) + A^(-30)*v^(2) + 2*A^(-28)*v + 3*A^(-26) + A^(-26)*v - A^(-26)*v^(2) + 2*A^(-24) - 2*A^(-24)*v - 3*A^(-22) - A^(-22)*v - 3*A^(-20) + 2*A^(-18) - A^(-18)*v^(2) + A^(-16) - 2*A^(-16)*v - 2*A^(-14) - A^(-14)*v - 2*A^(-12) + A^(-10) + A^(-8)
k10.5m	+ A^8 + A^10 - 2*A^12 - A^14*v - 2*A^14 - 2*A^16*v + A^16 - A^18*v^(2) + 2*A^18 - 3*A^20 - A^22*v - 3*A^22 - 2*A^24*v + 2*A^24 - A^26*v + 3*A^26 + 2*A^28*v + A^30*v^(2) - A^30
k11.1	A^(-38) + A^(-36) - A^(-34) - 2*A^(-32) - A^(-30) + A^(-20) + A^(-18) + A^(-16)
k11.1m	A^16 + A^18 + A^20 - A^30 - 3*A^32 - A^34 + A^36 + A^38
k11.2	-2 - A^(-20) - 2*A^(-18) + 5*A^(-14) + 3*A^(-12) - 4*A^(-10) - 4*A^(-8) + 2*A^(-6) + 4*A^(-4) - A^(-2) + A^4
k11.2m	-2 + A^(-4) - A^2 + 4*A^4 + 2*A^6 - 4*A^8 - 4*A^10 + 3*A^12 + 5*A^14 - 2*A^18 - A^20
k11.3	-4 + A^(-16) + A^(-14) - A^(-12) - 4*A^(-10) - A^(-8) + 4*A^(-6) + 5*A^(-4) - 3*A^2 + 2*A^6 + A^8
k11.3m	-4 + A^(-8) + 2*A^(-6) - 3*A^(-2) + 5*A^4 + 4*A^6 - A^8 - 4*A^10 - A^12 + A^14 + A^16
k11.4	-4 + A^(-22) + A^(-20) - 3*A^(-18) - 3*A^(-16) + 3*A^(-14) + 5*A^(-12) - 2*A^(-10) - 5*A^(-8) + 2*A^(-6) + 5*A^(-4) - A^(-2) - A^2 + 2*A^4 + A^6
k11.4m	-4 + A^(-6) + 2*A^(-4) - A^(-2) + A^2 + 5*A^4 + 2*A^6 - 5*A^8 - 2*A^10 + 5*A^12 + 3*A^14 - 3*A^16 - 3*A^18 + A^20 + A^22
k11.5	-A^(-30) - A^(-28) + A^(-26) + 2*A^(-24) - A^(-20) + A^(-16) - A^(-12) - A^(-10) + A^(-6) + A^(-4)
k11.5m	A^4 + A^6 - A^10 - A^12 + A^16 + A^20 + 2*A^24 + A^26 - A^28 - A^30
k11.6	5 + A^(-10) + 2*A^(-8) - A^(-6) - 5*A^(-4) - 3*A^(-2) + 7*A^2 + A^4 - 5*A^6 - 4*A^8 + 2*A^12 + A^14
k11.6m	5 + A^(-14) + 2*A^(-12) - 4*A^(-8) - 5*A^(-6) + A^(-4) + 7*A^(-2) - 3*A^2 - 5*A^4 - A^6 + 2*A^8 + A^10
k11.7	5 + A^(-16) - 2*A^(-12) - A^(-10) + 4*A^(-8) + 2*A^(-6) - 5*A^(-4) - 4*A^(-2) + 6*A^2 - 2*A^4 - 5*A^6 - A^8 + 2*A^10 + A^12
k11.7m	5 + A^(-12) + 2*A^(-10) - A^(-8) - 5*A^(-6) - 2*A^(-4) + 6*A^(-2) - 4*A^2 - 5*A^4 + 2*A^6 + 4*A^8 - A^10 - 2*A^12 + A^16
k11.8	- A^(-36) - A^(-36)*v - 2*A^(-34) - 2*A^(-34)*v - 2*A^(-32) + 2*A^(-30)*v + 2*A^(-28) + A^(-28)*v + 2*A^(-26) + 2*A^(-24) + A^(-24)*v + 2*A^(-22) + 2*A^(-22)*v + 3*A^(-20) + A^(-20)*v + 2*A^(-18) + A^(-16)
k11.8m	A^16 + 2*A^18 + A^20*v + 3*A^20 + 2*A^22*v + 2*A^22 + A^24*v + 2*A^26 + A^28*v + 2*A^28 + 2*A^30*v - 2*A^32 - 2*A^34*v - 2*A^34 - A^36*v - A^36
k12.1	-A^(-42) - A^(-40) + 3*A^(-38) + 4*A^(-36) - A^(-34) - 5*A^(-32) - 2*A^(-30) + 2*A^(-28) - 2*A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) + A^(-16)
k12.1m	A^16 + 2*A^18 + 2*A^20 - A^22 - 2*A^24 + 2*A^28 - 2*A^30 - 5*A^32 - A^34 + 4*A^36 + 3*A^38 - A^40 - A^42
k12.2	-4 - A^(-24) + 2*A^(-20) - 3*A^(-16) + 5*A^(-12) - 5*A^(-8) + 5*A^(-4) + 3*A^4 - 2*A^8 + A^12
k12.2m	-4 + A^(-12) - 2*A^(-8) + 3*A^(-4) + 5*A^4 - 5*A^8 + 5*A^12 - 3*A^16 + 2*A^20 - A^24
k12.3	2 + A^(-28) + A^(-26) - 2*A^(-24) - 4*A^(-22) + A^(-20) + 5*A^(-18) + A^(-16) - 4*A^(-14) - A^(-12) + 4*A^(-10) + 2*A^(-8) - 3*A^(-6) - 3*A^(-4) + A^2
k12.3m	2 + A^(-2) - 3*A^4 - 3*A^6 + 2*A^8 + 4*A^10 - A^12 - 4*A^14 + A^16 + 5*A^18 + A^20 - 4*A^22 - 2*A^24 + A^26 + A^28
k12.4	+ A^(-34) + A^(-34)*v + 2*A^(-32) + 2*A^(-32)*v + 2*A^(-30) - A^(-30)*v - 2*A^(-28) - 4*A^(-28)*v - 6*A^(-26) - A^(-26)*v - 3*A^(-24) + 2*A^(-24)*v + A^(-22) + A^(-20) - 2*A^(-20)*v - 2*A^(-18) + 2*A^(-16)*v + 3*A^(-14) + A^(-14)*v + 3*A^(-12) + A^(-10)
k12.4m	A^10 + 3*A^12 + A^14*v + 3*A^14 + 2*A^16*v - 2*A^18 - 2*A^20*v + A^20 + A^22 + 2*A^24*v - 3*A^24 - A^26*v - 6*A^26 - 4*A^28*v - 2*A^28 - 2*A^30 + 2*A^30 + 2*A^32*v + 2*A^32 + A^34*v + A^34
k13.1	-A^(-36) - A^(-34) + 2*A^(-32) + 4*A^(-30) - 4*A^(-26) - 2*A^(-24) + A^(-22) + A^(-20) - 2*A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) + A^(-10)
k13.1m	A^10 + 2*A^12 + A^14 - 2*A^18 + A^20 + A^22 - 2*A^24 - 4*A^26 + 4*A^30 + 2*A^32 - A^34 - A^36
k13.2	A^(-34) - 2*A^(-30) - A^(-28) + 2*A^(-26) + 2*A^(-24) - 3*A^(-22) - 2*A^(-20) + 2*A^(-18) + 2*A^(-16) - A^(-14) - A^(-12) + A^(-10) + A^(-8)
k13.2m	A^8 + A^10 - A^12 - A^14 + 2*A^16 + 2*A^18 - 2*A^20 - 3*A^22 + 2*A^24 + 2*A^26 - A^28 - 2*A^30 + A^34
k13.3	-2 - A^(-26) - A^(-24) + 2*A^(-22) + 3*A^(-20) - 3*A^(-18) - 5*A^(-16) + 3*A^(-14) + 7*A^(-12) - A^(-10) - 6*A^(-8) + 4*A^(-4) + A^4
k13.3m	-2 + A^4 + 4*A^4 - 6*A^8 - A^10 + 7*A^12 + 3*A^14 - 5*A^16 - 3*A^18 + 3*A^20 + 2*A^22 - A^24 - A^26
k14.1	A^(-40) + A^(-38) - 3*A^(-36) - 3*A^(-34) + 3*A^(-32) + 5*A^(-30) - 2*A^(-28) - 6*A^(-26) + A^(-24) + 4*A^(-22) - 3*A^(-18) + 2*A^(-14) + A^(-12)
k14.1m	A^12 + 2*A^14 - 3*A^18 + 4*A^22 + A^24 - 6*A^26 - 2*A^28 + 5*A^30 + 3*A^32 - 3*A^34 - 3*A^36 + A^38 + A^40
k14.2	1 + A^(-28) + 2*A^(-26) - A^(-24) - 5*A^(-22) - 2*A^(-20) + 4*A^(-18) + 4*A^(-16) - 2*A^(-14) - 3*A^(-12) + 2*A^(-10) + 4*A^(-8) - 4*A^(-4) - 3*A^(-2) + 2*A^2 + A^4
k14.2m	1 + A^(-4) + 2*A^(-2) - 3*A^2 - 4*A^4 + 4*A^8 + 2*A^10 - 3*A^12 - 2*A^14 + 4*A^16 + 4*A^18 - 2*A^18 - 2*A^20 - 5*A^22 - A^24 + 2*A^26 + A^28
k15.1	-3 + A^(-22) + 2*A^(-20) - 2*A^(-18) - 5*A^(-16) + 6*A^(-12) + 2*A^(-10) - 5*A^(-8) - 2*A^(-6) + 5*A^(-4) + 3*A^(-2) - 4*A^2 + 2*A^6 + A^8
k15.2	- A^(-36) + A^(-36)*v^(2) - A^(-34) + 3*A^(-34)*v + A^(-34)*v^(2) + 4*A^(-32) + 3*A^(-32)*v - A^(-32)*v^(2) + 5*A^(-30) - 3*A^(-30)*v - A^(-30)*v^(2) - 3*A^(-28) - 4*A^(-28)*v - 7*A^(-26) + A^(-24)*v - A^(-24)*v^(2) + 4*A^(-22) - 3*A^(-22)*v - A^(-22)*v^(2) - 2*A^(-20) - 3*A^(-20)*v - 4*A^(-18) + A^(-16)*v + 3*A^(-14) + A^(-12)
k15.2m	A^12 + 3*A^14 + A^16*v - 4*A^18 - 3*A^20*v - 2*A^20 - A^22*v^(2) - 3*A^22*v + 4*A^22 - A^24*v^(2) + A^24*v - 7*A^26 - 4*A^28*v - 3*A^28 - A^30*v^(2) - 3*A^30*v + 5*A^30 - A^32*v^(2)  + 3*A^32*v + 4*A^32 + A^34*v^(2) + 3*A^34*v - A^34 + A^36*v^(2) - A^36
k15.3	+ A^(-18)*v + 2*A^(-16) + A^(-16)*v + 3*A^(-14) - A^(-14)*v - 2*A^(-12) - A^(-12)*v - 6*A^(-10) - A^(-8) - A^(-8)*v + 3*A^(-6) - A^(-6)*v - A^(-4) - 3*A^(-2) + 3*A^(2) + A^(4) + A^(4)*v
k15.3m	+ A^(-4)*v + A^(-4) + 3*A^(-2) - 3*A^2 - A^4 - A^6*v + 3*A^6 - A^8*v - A^8 - 6*A^10 - A^12*v - 2*A^12 - A^14*v + 3*A^14 + A^16*v + 2*A^16 + A^18*v
k18.1	-3 - A^(-24) + 2*A^(-20) - 3*A^(-16) + 5*A^(-12) - 5*A^(-8) - A^(-6) + 5*A^(-4) + 2*A^(-2) - 2*A^2 + A^4 + A^6
k18.1m	-3 + A^(-6) + A^(-4) - 2*A^(-2) + 2*A^2 + 5*A^4 - 5*A^8 + 5*A^12 - 3*A^16 + 2*A^20 - A^24
k1.1*k3.1	+ A^(-20) + A^(-18)*v - A^(-16) - A^(-14)*v - A^(-8) - A^(-6)*v
k1.1m*k3.1m	-A^6*v - A^8 - A^14*v - A^16 + A^18*v + A^20
k1.1*k3.1m	 - 1 - A^(2)*v - A^(8) - A^(10)*v + A^(12) + A^(14)*v
k1.1m*k3.1	+ A^(-14)*v + A^(-12) - A^(-10)*v - A^(-8) - A^(-2)*v - 1
k1.1*k3.2	- A^(-12) - A^(-10)*v + A^(-8) + A^(-6) + A^(-6)*v - A^(-4) + A^(-4)*v - A^(-2) - A^(-2)*v - v
k1.1m*k3.2m	- v - A^(2) - A^(2)*v - A^(4) + A^(4)*v + A^(6) + A^(6)*v + A^(8) - A^(10)*v - A^(12)
k1.1*k3.2m	- A^(-6)*v - A^(-4) + A^(-2)*v + 1 + v + A^(2) - A^(2)*v - A^(4) - A^(4)*v - A^(6)
k1.1m*k3.2	- A^(-6) - A^(-4) - A^(-4)*v + A^(-2) - A^(-2)*v + 1 + v + A^(2)*v - A^(4) - A^(6)*v
k1.1*k4.1	- A^(-12) - A^(-10)*v + A^(-8) + A^(-6)*v - A^(-4) - A^(-2)*v + 1 + A^(2)*v - A^(4) - A^(6)*v
k1.1mk*4.1	- A^(-6)*v - A^(-4) + A^(-2)*v + 1 - A^(2)*v - A^(4) + A^(6)*v + A^(8) - A^(10)*v - A^(12)
k2.1*k2.6	- A^(-12)*v - A^(-10)*v^(2) + A^(-8)*v + A^(-6) + A^(-6)*v + A^(-6)*v^(2) + A^(-4)*v^(2) - A^(-2) - 1
k2.1m*k2.6m	- 1 - A^(2) + A^(4)*v^(2) + A^(6) + A^(6)*v + A^(6)*v^(2) + A^(8)*v - A^(10)*v^(2) - A^(12)*v
k2.1m*k2.6	+ A^(-14) - A^(-10) - A^(-10)*v^(2) - A^(-8) - A^(-8)*v + A^(-6)*v^(2) + A^(-4)*v + A^(-4)*v^(2) + A^(-2)*v
k2.1*k2.6m	+ A^(2)*v + A^(4)*v + A^(4)*v^(2) + A^(6)*v^(2) - A^(8) - A^(8)*v - A^(10) - A^(10)*v^(2) + A^(14)
k2.1*k2.3	- A^(-18) - A^(-16)*v + A^(-14) + A^(-12) + 2*A^(-12)*v + A^(-10)*v - A^(-8)*v - A^(-6)*v
