0_1	+ 1
6_58|6_58ms	+ A^(8) - A^(12) + 3*A^(16) + A^(18) - 3*A^(20) - 2*A^(22) + 2*A^(24) + 2*A^(26) - A^(28) - A^(30)
6_58s|6_58m	- A^(-30) - A^(-28) + 2*A^(-26) + 2*A^(-24) - 2*A^(-22) - 3*A^(-20) + A^(-18) + 3*A^(-16) - A^(-12) + A^(-8)
6_59|6_59ms	+ A^(-4) - 2 - A^(2) + 3*A^(4) + 3*A^(6) - A^(8) - 3*A^(10) + A^(14)
6_59s|6_59m	+ A^(-14) - 3*A^(-10) - A^(-8) + 3*A^(-6) + 3*A^(-4) - A^(-2) - 2 + A^(4)
6_60|6_60ms	+ A^(4) - A^(8) + 2*A^(12) - 2*A^(16) + 2*A^(20) + A^(22) - A^(24) - A^(26)
6_60s|6_60m	- A^(-26) - A^(-24) + A^(-22) + 2*A^(-20) - 2*A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
6_61|6_61ms	+ A^(8) + A^(10) - 2*A^(14) - A^(16) + 2*A^(18) + 2*A^(20) - A^(24) - A^(26)
6_61s|6_61m	- A^(-26) - A^(-24) + 2*A^(-20) + 2*A^(-18) - A^(-16) - 2*A^(-14) + A^(-10) + A^(-8)
6_62	+ A^(-4) - 2 - 2*A^(2) + 2*A^(4) + 4*A^(6) + A^(8) - 2*A^(10) - A^(12)
6_62m	- A^(-12) - 2*A^(-10) + A^(-8) + 4*A^(-6) + 2*A^(-4) - 2*A^(-2) - 2 + A^(4)
6_63|6_63ms	+ A^(-10) - 2*A^(-6) - A^(-4) + 2*A^(-2) + 3 - A^(2) - 2*A^(4) + A^(8)
6_63s|6_63m	+ A^(-8) - 2*A^(-4) - A^(-2) + 3 + 2*A^(2) - A^(4) - 2*A^(6) + A^(10)
6_64|6_64ms	+ A^(2) + 2*A^(4) - A^(6) - 4*A^(8) - A^(10) + 5*A^(12) + 3*A^(14) - 2*A^(16) - 3*A^(18) + A^(22)
6_64s|6_64m	+ A^(-22) - 3*A^(-18) - 2*A^(-16) + 3*A^(-14) + 5*A^(-12) - A^(-10) - 4*A^(-8) - A^(-6) + 2*A^(-4) + A^(-2)
6_65|6_65ms	- 1 - 2*A^(2) + 2*A^(4) + 5*A^(6) + 2*A^(8) - 3*A^(10) - 3*A^(12) + A^(16)
6_65s|6_65m	+ A^(-16) - 3*A^(-12) - 3*A^(-10) + 2*A^(-8) + 5*A^(-6) + 2*A^(-4) - 2*A^(-2) - 1
6_66|6_66ms	- 2*A^(-6) - A^(-4) + 3*A^(-2) + 4 - A^(2) - 3*A^(4) + 2*A^(8) - A^(12)
6_66s|6_66m	- A^(-12) + 2*A^(-8) - 3*A^(-4) - A^(-2) + 4 + 3*A^(2) - A^(4) - 2*A^(6)
6_67|6_67ms	- A^(-18) + 2*A^(-14) - 3*A^(-10) - A^(-8) + 3*A^(-6) + 3*A^(-4) - A^(-2) - 1
